Country,Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Cases/Million,Total Deaths/Million,ICU Patients/ Million,Hospital Patients/Million,Total Tests/Million,New tests/Million,Positive Rate,Total Vaccinations,People Vaccinated,People Fully Vaccinated,New Vaccinations,Population,GDP / capita

Bhutan,06/03/2020,1,1,0,0,1.296,0,0,0,0,0,0,0,0,0,0,771612,8708.597

Bhutan,07/03/2020,1,0,0,0,1.296,0,0,0,0,0,0,0,0,0,0,771612,8708.597

Bhutan,08/03/2020,1,0,0,0,1.296,0,0,0,0,0,0,0,0,0,0,771612,8708.597

Bhutan,09/03/2020,1,0,0,0,1.296,0,0,0,0,0,0,0,0,0,0,771612,8708.597

Bhutan,10/03/2020,1,0,0,0,1.296,0,0,0,0,0,0,0,0,0,0,771612,8708.597

Bhutan,11/03/2020,1,0,0,0,1.296,0,0,0,0,0,0,0,0,0,0,771612,8708.597

Bhutan,12/03/2020,1,0,0,0,1.296,0,0,0,0,0,0,0,0,0,0,771612,8708.597

Bhutan,13/03/2020,1,0,0,0,1.296,0,0,0,0,0,0,0,0,0,0,771612,8708.597

Bhutan,14/03/2020,1,0,0,0,1.296,0,0,0,0,0,0,0,0,0,0,771612,8708.597

Bhutan,15/03/2020,1,0,0,0,1.296,0,0,0,0,0,0,0,0,0,0,771612,8708.597

Bhutan,16/03/2020,1,0,0,0,1.296,0,0,0,0,0,0,0,0,0,0,771612,8708.597

Bhutan,17/03/2020,1,0,0,0,1.296,0,0,0,0,0,0,0,0,0,0,771612,8708.597

Bhutan,18/03/2020,1,0,0,0,1.296,0,0,0,0,0,0,0,0,0,0,771612,8708.597

Bhutan,19/03/2020,1,0,0,0,1.296,0,0,0,0,0,0,0,0,0,0,771612,8708.597

Bhutan,20/03/2020,2,1,0,0,2.592,0,0,0,0,0,0,0,0,0,0,771612,8708.597

Bhutan,21/03/2020,2,0,0,0,2.592,0,0,0,0,0,0,0,0,0,0,771612,8708.597

Bhutan,22/03/2020,2,0,0,0,2.592,0,0,0,0,0,0,0,0,0,0,771612,8708.597

